Customer_ID,Order_Date,Country,Category,Channel,Payment_Method,Quantity,Unit_Price,Discount,Sales,Shipping_Cost,Returned,Rating
C10000,2025-01-01 00:00:00.000000000,Thailand,Home & Kitchen,Website,Mobile Payment,1,63.81,0.05,60.62,5,1,4
C10001,2025-01-01 08:44:41.081081081,UK,Sports,Website,Credit Card,3,60.11,0.0,180.32,0,0,4
C10002,2025-01-01 17:29:22.162162162,India,Beauty,Marketplace,Credit Card,3,43.87,0.0,131.62,0,0,3
C10003,2025-01-02 02:14:03.243243243,Australia,Clothing,Website,PayPal,4,52.03,0.0,208.14,0,0,5
C10004,2025-01-02 10:58:44.324324324,India,Electronics,Website,Mobile Payment,5,202.91,0.15,862.36,0,0,1
C10005,2025-01-02 19:43:25.405405405,Germany,Electronics,Mobile App,Debit Card,2,129.04,0.05,245.17,0,1,4
C10006,2025-01-03 04:28:06.486486486,Australia,Electronics,Website,PayPal,1,140.67,0.1,126.61,0,0,4
C10007,2025-01-03 13:12:47.567567567,India,Sports,Mobile App,Mobile Payment,1,55.23,0.05,52.47,5,0,3
C10008,2025-01-03 21:57:28.648648648,Thailand,Clothing,Website,Mobile Payment,5,45.79,0.0,228.94,0,0,5
C10009,2025-01-04 06:42:09.729729729,UK,Beauty,Mobile App,Debit Card,4,40.86,0.0,163.45,0,0,5
C10010,2025-01-04 15:26:50.810810810,Thailand,Electronics,Website,PayPal,4,220.77,0.1,794.77,0,0,4
C10011,2025-01-05 00:11:31.891891891,Canada,Sports,Website,Mobile Payment,5,93.37,0.1,420.17,0,0,4
C10012,2025-01-05 08:56:12.972972973,unknown,Beauty,Marketplace,Mobile Payment,4,51.39,0.15,174.73,0,0,3
C10013,2025-01-05 17:40:54.054054054,Thailand,Electronics,Website,Mobile Payment,1,150.81,0.1,135.73,0,0,5
C10014,2025-01-06 02:25:35.135135135,Australia,Electronics,Mobile App,Debit Card,1,181.58,0.1,163.43,0,0,3
C10015,2025-01-06 11:10:16.216216216,Canada,Electronics,Website,PayPal,2,151.13,0.1,272.03,0,0,4
C10016,2025-01-06 19:54:57.297297297,Thailand,Home & Kitchen,Website,PayPal,5,79.66,0.15,338.56,0,0,5
